method,held_out_fold,validation_window_id,gamma,effective_gamma,gamma_saturated,sample_size,energy_quantile,feasible,solver_status,solver_runtime_seconds,mip_gap,max_robust_constraint_violation_mw,nominal_operating_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,training_mean_batch_adjustment_mwh,validation_batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
static_Gamma_RO,fold_3,11,0.5,0.5,False,20,0.9,True,optimal,17.570000171661377,0.0,3.0531133177191805e-16,13202.47324574474,14368.987603692714,196466.35576849934,2.0054166244815814,153.88742425730362,29.53917594607732,1.4210854715202004e-13,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_1,0,0.75,0.75,False,20,0.9,True,optimal,16.41100001335144,0.0,2.498001805406602e-16,11792.325750938802,12371.451795244833,184704.85475750806,0.6661306347913059,151.74137979402636,42.09182201901992,1.9895196601282805e-13,0.0,7.216449660063518e-16,False,False,False
static_Gamma_RO,fold_1,1,0.75,0.75,False,20,0.9,True,optimal,20.48900008201599,0.0,2.7755575615628914e-16,12525.598423695717,13106.475554469962,173221.6115562476,0.6415388131911003,152.9724464897326,47.31607348748526,1.9895196601282805e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_1,2,0.75,0.75,False,20,0.9,True,optimal,13.937000036239624,0.0,2.220446049250313e-16,11768.79395307987,12499.864191863744,191084.7881664348,0.7407014683174228,147.245762726834,33.906191575701875,8.526512829121202e-14,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_1,3,0.75,0.75,False,20,0.9,True,optimal,16.432999849319458,0.0,3.3306690738754696e-16,12654.28035800117,12688.798882112136,177441.77886890576,1.8837395033088513,149.0855645218739,32.31530172410273,1.1368683772161603e-13,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_1,4,0.75,0.75,False,20,0.9,True,optimal,17.132999897003174,0.0,2.7755575615628914e-16,10734.087562184208,10861.834203417202,165338.08808814455,0.5449647021774966,150.82316126212817,35.555021454311685,5.684341886080802e-14,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_1,5,0.75,0.75,False,20,0.9,True,optimal,20.15500020980835,0.0,2.7755575615628914e-16,12085.28516659823,12914.001999403192,175165.76284988917,0.3631977920675964,155.5864776278194,34.343865624490256,1.1368683772161603e-13,0.0,8.881784197001252e-16,False,False,False
static_Gamma_RO,fold_1,6,0.75,0.75,False,20,0.9,True,optimal,18.83299994468689,0.0,2.498001805406602e-16,12102.66434593525,12291.005393180882,177970.31262604552,0.8372718380641387,151.18827416415212,36.33289086735405,2.842170943040401e-14,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_1,7,0.75,0.75,False,20,0.9,True,optimal,19.055999994277954,0.0,2.7755575615628914e-16,14853.948520273749,16424.77734558977,184057.0716253235,0.24817121049512889,150.79904624061885,38.08089207484332,5.684341886080802e-14,0.0,1.1102230246251565e-16,False,False,False
static_Gamma_RO,fold_1,8,0.75,0.75,False,20,0.9,True,optimal,20.78600001335144,0.0,2.7755575615628914e-16,21151.961086261894,22663.586775639338,181445.83961107777,0.5434916716849423,154.59882480089377,36.95670250032838,1.7053025658242404e-13,0.0,8.881784197001252e-16,False,False,False
