delivery_date,cv_fold,hour_index,forecast_cutoff_utc,interval_end_utc,forecast_method,erco_solar_generation_mwh,erco_wind_generation_mwh,erco_consumed_co2_intensity_lbs_per_kwh,forecast_erco_solar_generation_mwh,forecast_erco_wind_generation_mwh,forecast_consumed_co2_lbs_per_kwh,residual_erco_solar_generation_mwh,residual_erco_wind_generation_mwh,residual_erco_consumed_co2_intensity_lbs_per_kwh,complete_row,usable_24h_block
2024-09-12,fold_3,17,2024-09-11T23:00:00Z,2024-09-12T23:00:00Z,direct_ridge_90d_v1,17211.0,6804.0,0.6818030296587315,14991.594957216144,8847.042153083024,0.7481962562361344,2219.4050427838556,-2043.0421530830245,-0.06639322657740288,True,True
2024-09-12,fold_3,18,2024-09-11T23:00:00Z,2024-09-13T00:00:00Z,direct_ridge_90d_v1,9997.0,7555.0,0.7960558439520115,9870.468210200052,10030.563902876595,0.8046625517612386,126.53178979994846,-2475.5639028765945,-0.008606707809227121,True,True
2024-09-12,fold_3,19,2024-09-11T23:00:00Z,2024-09-13T01:00:00Z,direct_ridge_90d_v1,1341.0,7792.0,0.9453252317588201,1183.2394887293053,10797.472724759991,0.8972564560190419,157.76051127069468,-3005.4727247599913,0.04806877573977819,True,True
2024-09-12,fold_3,20,2024-09-11T23:00:00Z,2024-09-13T02:00:00Z,direct_ridge_90d_v1,1.0,9978.0,0.9194996581516083,0.0,11083.335277782275,0.9298207626868102,1.0,-1105.3352777822747,-0.010321104535201964,True,True
2024-09-12,fold_3,21,2024-09-11T23:00:00Z,2024-09-13T03:00:00Z,direct_ridge_90d_v1,1.0,12844.0,0.838912023252829,0.0,12363.309762590989,0.923171480225297,1.0,480.6902374090114,-0.08425945697246806,True,True
2024-09-12,fold_3,22,2024-09-11T23:00:00Z,2024-09-13T04:00:00Z,direct_ridge_90d_v1,1.0,14867.0,0.7877335730291717,0.0,13768.582855427077,0.8938686372394855,1.0,1098.4171445729226,-0.10613506421031382,True,True
2024-09-12,fold_3,23,2024-09-11T23:00:00Z,2024-09-13T05:00:00Z,direct_ridge_90d_v1,1.0,17198.0,0.7062102939874154,0.0,14354.297183989915,0.8676997248312283,1.0,2843.7028160100854,-0.16148943084381284,True,True
2024-09-13,fold_3,0,2024-09-12T23:00:00Z,2024-09-13T06:00:00Z,direct_ridge_90d_v1,1.0,18765.0,0.6511822478436229,0.0,13949.486869471448,0.8052424121224313,1.0,4815.513130528552,-0.15406016427880842,True,True
2024-09-13,fold_3,1,2024-09-12T23:00:00Z,2024-09-13T07:00:00Z,direct_ridge_90d_v1,1.0,18802.0,0.6339168235059051,0.0,13448.845358417451,0.7959447823543748,1.0,5353.154641582549,-0.16202795884846977,True,True
2024-09-13,fold_3,2,2024-09-12T23:00:00Z,2024-09-13T08:00:00Z,direct_ridge_90d_v1,1.0,18762.0,0.6244460054601118,0.0,12655.639617500112,0.7983126962825516,1.0,6106.360382499888,-0.17386669082243988,True,True
